Val,Post FT Obama,Region,State,R Age,Marital Status,Education,Military Service,Employed,R Race,R Gender,Pre FT Bush,Pre FT Obama,Pre FT McCain,Pre FT Biden,Pre FT Palin,Pre FT H Clinton,Pre FT B Clinton,Pre FT Condi,Pre FT Rush Lim,Pre FT Dem Party,Pre FT Rep Party,Post FT Bush,Post FT McCain,Post FT Biden,Post FT Palin,FT Rich People,FT Middle Class,FT Poor People,FT Working Class People,FT Ill Immigrants,FT People on Welfare,FT Liberals,FT Conservatives,FT Feminists,FT Environmentalists,FT Gay People,FT Big Business,FT Labor Unions,FT Military,FT Fed Govt,FT Supreme Court,FT Congress,FT Whites,FT Blacks,FT Hispanics,FT Asian Amer,FT Southerners,FT Christian Fundamentalis,FT Catholics,FT Jews,FT Israel,FT Muslims,FT Hindus,FT Christians,FT Atheists,One Party Control Pre,Better Worse Year Ago Pre,Own Stock Pre,Has Health Ins pre,Hopeful About Obama pre,Afraid of Obama pre,Care Who Wins pre,Expect Close Race pre,Duty to vote pre,Economy Better pre,Party ID pre,Iraq War pre,Impact on Terrorismc pre,Attitude to Uni Health Care,Welfare Spending pre,War on Terror Spending,Death Penalty,R Owns Gun,Religion Imp to R,Prays Often,R Born Again,Sexual Orientation,Should combat terrorists,Income Gap,Abortion,Abortion Importance,Prompt to recog Cheney,Prompt to recog Gordon Brown,Prompt to recog J Roberts,Crooks in Govt,Handling Afgan War,Handling Iraq War,Torture
in,85,South,TX,37,Never married,12,R has never served in the military,Working now,White,Female  ,15,50,50,40,50,50,40,50,70,70,50,30,60,85,70,50,50,50,70,15,15,70,60,50,85,50,60,60,100,85,85,85,70,50,50,50,50,70,50,50,40,15,40,85,0,Better when control is split,Better,No,No,Yes,No,Dont care very much,Will be close,Yes,Gotten worse,No preference ,Worth it,Decreased,,Decreased,Decreased,Favor,No,Not important,Never,Yes,Homosexual or gay ,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Not too important,No,No,No,Not very many are crooked,Approve,Approve,Favor
out,100,South,TX,28,Married,14,R has never served in the military,Working now,Hispanic or Latino,Female  ,30,85,50,50,60,85,60,50,,85,40,40,60,85,70,40,85,85,85,,70,50,,,85,50,30,50,85,60,50,70,,,,,,85,70,,50,,,100,0,Better when one party controls both,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Kept about the same,Favor,Yes,Important,Once a day,No,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Very important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Favor
out,40,South,TX,38,Divorced,13,R has never served in the military,Working now,White,Male  ,40,70,60,50,50,50,85,85,85,50,60,60,70,50,50,50,85,50,70,40,30,50,70,50,50,50,60,70,70,30,50,50,70,50,50,50,60,50,70,50,50,50,50,85,0,Better when control is split,Worse,Yes,Yes,Yes,Yes,Dont care very much,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Increased,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,No,No,Quite a few are crooked,Approve,Disapprove,Neither favor nor oppose
out,30,South,TX,67,,13,R has never served in the military,Retired,White,Female  ,85,15,85,30,70,30,30,85,70,30,85,70,70,30,70,70,70,70,85,15,70,15,85,40,60,30,85,30,85,60,70,60,70,70,70,60,85,85,60,70,70,40,40,100,30,It doesnt matter,Better,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Increased,,Kept about the same,Kept about the same,Favor,Yes,Important,Once a day,Yes,Heterosexual or straight,Very important,About the same,"2. The law should permit abortion only in case of rape, incest, or",Extremely important,No,Yes,No,Not very many are crooked,Approve,Approve,Favor
in,85,South,TX,40,Divorced,14,R has never served in the military,Working now,White,Female  ,30,70,60,85,40,85,60,70,15,70,50,30,70,85,40,100,100,100,100,60,100,85,70,50,85,50,30,40,100,30,70,40,100,100,100,100,100,100,100,100,85,100,100,100,0,Better when one party controls both,The same ,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,Favor,Kept about the same,Kept about the same,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,No,No,Quite a few are crooked,Disapprove,Neither approve nor disapprove,Neither favor nor oppose
out,40,South,TX,24,Never married,11,R has never served in the military,Working now,Hispanic or Latino,Female  ,0,60,50,,,85,85,50,,50,50,40,60,85,40,50,70,85,85,30,40,60,40,30,70,60,15,40,60,15,40,30,60,40,70,50,50,40,40,50,50,40,50,70,50,It doesnt matter,Better,No,No,Yes,No,Dont care very much,Win by quite a bit,No,Gotten worse,Independent,Not worth it,Increased,,Decreased,Increased,Favor,No,Not important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,No,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,70,South,TX,35,Never married,12,R has never served in the military,Unemployed,White,Male  ,60,60,60,50,50,70,85,60,40,60,60,70,70,70,70,70,85,70,85,60,70,,,70,70,70,60,,85,70,70,70,70,70,70,70,70,,50,70,50,70,70,70,70,Better when control is split,Worse,No,No,No,No,Dont care very much,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,Favor,Increased,Increased,Oppose,No,Not important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Approve,Neither favor nor oppose
in,85,South,TX,63,Married,17,R has never served in the military,Working now,White,Male  ,60,85,85,60,70,100,100,100,50,50,50,70,85,70,70,85,85,100,100,70,85,70,85,100,85,70,70,70,100,70,70,70,85,85,85,85,100,70,85,100,85,85,70,100,70,Better when control is split,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Worth it,Decreased,,Increased,Kept about the same,Favor,No,Not important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,No,Not very many are crooked,Approve,Approve,Neither favor nor oppose
in,40,South,TX,34,Divorced,12,R has never served in the military,Working now,Hispanic or Latino,Male  ,60,0,85,30,70,60,50,70,50,15,70,70,85,0,100,70,85,85,85,15,70,0,70,50,40,40,40,0,100,0,70,50,85,50,85,85,70,85,85,85,85,40,0,85,0,Better when control is split,Better,No,No,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Worth it,Decreased,Favor,Decreased,Increased,Oppose,No,Important,Several times a day,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Quite a few are crooked,Approve,Approve,Favor
in,15,South,TX,24,Never married,15,R has never served in the military,Working now,White,Female  ,30,50,50,50,50,50,50,50,50,40,40,50,50,0,15,50,85,70,85,60,40,50,70,30,0,60,50,40,30,15,50,50,70,70,50,50,85,50,60,60,50,60,60,70,30,Better when one party controls both,Better,Yes,No,No,No,Dont care very much,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Increased,Favor,No,Not important,A few times a week,No,Heterosexual or straight,Somewhat important,Somewhat larger,"1. By law, abortion should never be permitted.",Extremely important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,85,South,TX,29,Married,8,R has never served in the military,Homemaker,White,Female  ,0,60,15,50,,70,0,50,,,50,0,0,,70,50,70,85,85,0,40,70,70,100,85,70,85,70,100,85,85,60,60,85,85,60,85,85,100,50,85,100,70,100,50,It doesnt matter,Better,Yes,Yes,Yes,No,Dont care very much,Will be close,No,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Increased,Increased,Favor,No,Not important,Once a day,,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,15,South,TX,41,Never married,14,R has never served in the military,Working now,Native American,Female  ,100,15,100,30,100,15,30,100,50,15,100,100,100,15,100,85,70,85,85,50,60,50,70,60,70,50,70,50,100,70,70,70,85,85,85,50,60,85,50,60,60,50,50,100,15,It doesnt matter,Better,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Republican,Worth it,Stayed about the same,Favor,Kept about the same,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Hardly any are crooked,Approve,Approve,Neither favor nor oppose
in,50,South,TX,35,"6. Partnered, not married ",14,R has never served in the military,Working now,White,Male  ,70,50,70,50,70,60,70,70,85,60,85,70,85,60,85,85,85,60,85,50,50,70,85,50,85,50,70,40,100,85,85,85,85,85,85,85,85,70,85,85,60,85,85,85,50,Better when control is split,Better,Yes,No,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Stayed about the same,,Increased,Kept about the same,Favor,No,Important,Once a week or less,No,Heterosexual or straight,Very important,Somewhat smaller,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,No,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
in,40,South,TX,46,Married,14,R has never served in the military,Working now,Native American,Male  ,100,0,100,0,100,0,0,100,100,0,100,100,85,15,100,100,100,100,100,15,30,60,100,15,30,40,100,40,100,40,85,0,100,100,100,100,100,100,100,100,100,100,50,100,50,Better when one party controls both,Better,Yes,Yes,No,Yes,Care a good deal,Win by quite a bit,Yes,Gotten better,Independent,Worth it,Decreased,Oppose,Cut out entirely ,Increased,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,No,Quite a few are crooked,Approve,Approve,Favor
out,100,South,TX,25,Married,12,R has never served in the military,Working now,Hispanic or Latino,Male  ,0,100,30,85,15,100,100,0,0,100,30,0,70,100,30,50,100,70,100,50,50,70,50,50,85,50,50,50,100,15,30,30,50,50,100,50,70,50,50,50,50,50,50,50,50,Better when one party controls both,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Kept about the same,Favor,No,Not important,Never,No,Heterosexual or straight,Somewhat important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Not at all important,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,60,South,TX,27,Married,14,R has never served in the military,Student,White,Male  ,40,50,40,,40,40,60,50,30,0,0,40,40,50,30,50,70,50,60,40,50,50,50,50,50,50,50,50,50,40,60,40,50,50,50,50,50,40,50,50,50,50,50,50,50,Better when control is split,Better,Yes,Yes,Yes,No,Dont care very much,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Oppose,Increased,Kept about the same,,Yes,Important,Once a day,,Heterosexual or straight,Somewhat important,Somewhat larger,,,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,60,South,TX,52,Never married,14,R has never served in the military,Working now,White,Male  ,30,50,70,50,50,60,60,40,30,60,50,15,40,50,40,50,100,100,85,60,60,60,40,60,70,100,40,60,100,40,60,40,100,100,100,100,100,50,100,100,70,100,100,100,50,It doesnt matter,Worse,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Kept about the same,Oppose,No,Not important,Once a week or less,No,Homosexual or gay ,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,85,South,TX,85,Widowed,7,Not currently serving but previously served,Retired,Black,Male  ,100,100,85,100,70,85,85,50,60,100,40,85,70,85,85,85,70,85,85,70,30,85,70,70,85,40,60,85,100,100,85,85,70,60,70,85,85,70,70,70,85,40,40,85,40,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Oppose,Yes,Important,Once a day,Yes,Heterosexual or straight,Not important at all,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,South,TX,48,Divorced,12,R has never served in the military,Permanently disabled,White,Female  ,0,85,0,85,15,100,100,0,0,85,15,15,30,100,0,70,100,70,85,30,85,70,60,60,60,50,40,100,60,70,60,60,85,70,85,60,70,60,60,70,85,40,50,85,0,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,40,South,TX,38,Never married,14,R has never served in the military,Working now,White,Male  ,70,50,70,50,50,85,60,85,70,50,70,60,85,50,70,70,85,85,70,30,40,40,85,40,70,40,50,85,100,70,85,40,85,60,70,70,60,85,100,50,60,60,50,100,40,Better when control is split,Worse,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Stayed about the same,Oppose,Increased,Kept about the same,Favor,Yes,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Hardly any are crooked,Approve,Approve,Oppose
in,85,South,TX,25,Never married,13,R has never served in the military,Working now,White,Male  ,0,85,0,85,0,70,90,15,30,75,10,10,15,80,10,30,70,70,85,60,25,35,25,30,70,50,40,10,35,30,50,30,50,65,40,50,50,30,50,50,50,50,50,50,50,It doesnt matter,Worse,No,No,Yes,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Increased,Favor,Yes,Not important,Never,,Heterosexual or straight,Somewhat important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Not too important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,0,South,TX,36,Never married,13,R has never served in the military,Working now,White,Male  ,85,0,85,40,100,60,100,70,15,30,70,60,85,0,50,85,85,50,85,0,0,50,85,15,100,0,70,30,100,60,85,60,85,15,40,70,85,60,100,40,85,0,15,100,0,Better when control is split,The same ,No,No,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,Oppose,Kept about the same,Decreased,Favor,Yes,Important,Several times a day,No,Heterosexual or straight,Not important at all,About the same,,,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Favor
out,100,South,TX,46,Divorced,14,R has never served in the military,Working now,Native American,Female  ,85,50,85,,100,70,15,85,85,70,70,70,60,70,60,85,85,85,100,60,60,70,85,100,100,100,100,85,100,85,70,85,70,85,70,70,85,70,85,70,60,50,60,100,40,Better when control is split,Better,No,No,Yes,Yes,Care a good deal,Will be close,No,Gotten better,Independent,Worth it,Decreased,Favor,Increased,,Favor,Yes,Important,Once a day,Yes,Heterosexual or straight,Very important,About the same,,,Yes,Yes,Yes,Quite a few are crooked,Approve,Approve,Oppose
in,85,South,TX,51,Married,8,R has never served in the military,Working now,Hispanic or Latino,Male  ,85,85,60,50,60,60,40,50,60,70,70,70,50,60,70,60,85,85,70,70,60,70,70,50,70,30,70,50,70,85,100,70,85,85,85,60,60,100,50,85,100,30,60,100,50,Better when control is split,Better,No,Yes,Yes,No,Dont care very much,Will be close,Yes,Gotten worse,No preference ,Worth it,Stayed about the same,Favor,Increased,Increased,Oppose,No,Important,A few times a week,Yes,Heterosexual or straight,Very important,Somewhat larger,,,Yes,No,No,Not very many are crooked,Approve,Approve,Oppose
out,85,South,TX,54,Separated,12,R has never served in the military,Working now,Hispanic or Latino,Female  ,50,70,30,60,50,70,100,50,70,85,40,50,60,85,60,70,70,85,85,70,70,70,70,85,85,70,70,85,100,85,85,85,85,85,85,70,85,70,70,70,70,60,70,70,70,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,No,Yes,Not very many are crooked,Approve,Approve,Oppose
in,50,South,TX,67,Married,12,R has never served in the military,Retired,Hispanic or Latino,Female  ,85,15,85,15,85,15,15,70,85,15,100,100,100,50,85,70,85,85,85,15,60,70,85,70,85,85,85,70,100,85,85,85,85,85,85,70,85,70,85,85,70,50,60,85,50,Better when one party controls both,Better,No,Yes,No,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Republican,Worth it,Stayed about the same,Oppose,Increased,Increased,Favor,No,Important,Once a day,No,Heterosexual or straight,Very important,About the same,,,No,Yes,Yes,Not very many are crooked,Approve,Approve,Favor
out,0,South,TX,81,Never married,16,R has never served in the military,Retired,White,Female  ,60,50,60,40,60,40,15,60,50,30,70,70,85,15,85,70,85,85,85,70,85,15,100,0,85,0,85,60,100,60,70,70,100,100,100,85,85,60,100,85,50,50,50,100,0,,The same ,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,,Decreased,,,Kept about the same,,No,Important,Several times a day,No,Heterosexual or straight,Very important,,"1. By law, abortion should never be permitted.",Extremely important,No,Yes,No,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
in,70,South,TX,19,Never married,12,R has never served in the military,Working now,Hispanic or Latino,Male  ,40,60,40,,,60,70,30,,70,40,50,40,50,40,50,70,70,70,50,60,50,50,50,70,50,40,50,60,40,40,40,50,50,100,50,60,50,70,50,50,50,50,70,50,Better when control is split,Worse,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Worth it,Stayed about the same,Favor,Increased,Increased,Favor,No,Important,Several times a day,No,Heterosexual or straight,Very important,Much larger,,,No,No,No,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
in,50,South,TX,65,Widowed,15,R has never served in the military,Working now,White,Female  ,70,15,85,30,85,0,30,100,60,40,70,70,85,15,70,100,100,100,100,15,,70,60,60,,100,70,15,100,70,60,40,100,100,100,100,100,60,100,100,,50,50,100,0,Better when control is split,Worse,Yes,Yes,No,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,No preference ,Worth it,Decreased,Neither favor nor oppose,Decreased,Kept about the same,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,About the same,,,No,Yes,No,Quite a few are crooked,Approve,Approve,Neither favor nor oppose
in,40,South,TX,44,Married,16,R has never served in the military,Working now,White,Male  ,60,30,60,30,50,15,15,50,15,15,85,70,85,15,60,50,50,50,50,40,50,30,50,50,40,50,60,15,85,60,50,30,50,50,50,50,50,60,50,50,50,50,50,85,50,Better when control is split,Worse,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Stayed about the same,Oppose,Increased,Decreased,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Somewhat important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Approve,Oppose
in,50,South,TX,57,Widowed,12,R has never served in the military,Working now,White,Female  ,70,50,85,50,85,40,40,85,40,50,100,70,85,50,85,70,85,85,100,70,60,70,85,85,85,70,60,50,100,60,70,60,70,85,85,70,85,50,85,85,70,50,50,100,50,It doesnt matter,Better,No,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Stayed about the same,Favor,Increased,Increased,Favor,No,Not important,Several times a day,No,Heterosexual or straight,Very important,About the same,,,No,No,Yes,Quite a few are crooked,Disapprove,Approve,Oppose
in,85,South,TX,33,Divorced,13,R has never served in the military,Working now,Hispanic or Latino,Female  ,0,70,0,85,15,100,100,0,70,70,0,0,0,70,0,60,100,100,85,100,70,70,60,70,60,85,60,85,60,60,70,50,50,70,100,70,60,60,70,70,50,50,50,70,50,It doesnt matter,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Decreased,Kept about the same,Favor,No,Important,Once a day,Yes,Heterosexual or straight,Somewhat important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,85,South,TX,60,Married,14,R has never served in the military,Working now,Hispanic or Latino,Female  ,40,50,70,40,85,100,85,70,,70,50,40,70,50,50,100,100,100,100,100,85,100,100,100,100,100,100,85,100,100,100,100,100,100,100,100,100,100,100,60,100,100,100,100,60,Better when control is split,Better,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Favor,Kept about the same,Cut out entirely ,,No,Important,Several times a day,No,Heterosexual or straight,Very important,Somewhat smaller,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
in,85,South,TX,43,Divorced,13,R has never served in the military,Working now,Hispanic or Latino,Female  ,15,85,40,70,15,85,100,70,50,85,40,15,30,85,15,50,85,70,100,30,30,40,40,40,85,50,40,50,40,30,40,30,60,50,70,50,70,60,50,50,50,50,50,60,40,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Favor,No,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Extremely important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,South,TX,64,Married,9,R has never served in the military,Permanently disabled,Hispanic or Latino,Female  ,0,100,0,100,0,100,100,15,0,100,0,50,40,85,50,70,70,100,70,70,70,85,70,60,85,40,30,40,85,85,85,70,70,70,85,100,,15,70,85,85,,,60,50,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Decreased,Favor,No,Important,Several times a day,No,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,South,TX,28,Never married,15,R has never served in the military,Unemployed,Hispanic or Latino,Female  ,0,85,30,,,100,100,60,,70,40,0,40,85,0,40,100,100,100,50,100,70,50,100,70,50,70,85,100,85,85,85,70,40,100,60,60,70,85,50,50,50,50,100,50,Better when control is split,The same ,No,No,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Increased,,Kept about the same,Increased,Favor,No,Important,A few times a week,No,Bisexual,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Not very many are crooked,Approve,Approve,Favor
in,70,South,TX,79,Married,9,Not currently serving but previously served,Retired,Hispanic or Latino,Male  ,50,85,40,70,30,85,60,70,,100,50,50,50,70,50,40,60,50,60,50,50,40,50,30,40,15,50,60,85,85,70,60,70,60,60,50,40,30,50,40,60,30,40,40,15,Better when one party controls both,The same ,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,,Kept about the same,Increased,Oppose,No,Important,Several times a day,No,Heterosexual or straight,Very important,Much larger,"1. By law, abortion should never be permitted.",Very important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,60,South,TX,51,Divorced,14,R has never served in the military,Working now,Hispanic or Latino,Female  ,0,100,0,,30,60,60,60,50,40,60,30,15,60,0,50,85,85,85,60,60,85,30,,60,100,40,85,100,70,70,70,85,85,100,70,85,70,85,85,,50,,85,85,Better when control is split,Worse,Yes,No,Yes,No,Care a good deal,Win by quite a bit,No,Gotten worse,Independent,Worth it,Stayed about the same,Oppose,Increased,Increased,Favor,No,Important,Once a day,,,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Disapprove,Oppose
in,85,South,TX,69,Married,14,R has never served in the military,Retired,White,Female  ,40,85,40,85,40,40,70,85,70,85,60,70,60,70,30,70,85,85,85,70,85,70,70,85,85,70,85,,85,70,70,70,100,85,85,85,70,70,85,85,85,70,70,85,50,Better when control is split,Better,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Worth it,Stayed about the same,Neither favor nor oppose,Increased,Kept about the same,Oppose,No,Important,Several times a day,No,Heterosexual or straight,Very important,Much larger,,,Yes,No,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,60,South,TX,20,Never married,13,R has never served in the military,Working now,Hispanic or Latino,Male  ,60,40,60,60,70,15,30,70,50,50,50,60,70,50,85,70,85,100,100,30,50,60,40,40,100,100,30,85,100,40,70,40,85,100,100,100,100,30,85,100,100,100,100,100,70,Better when control is split,Worse,No,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Increased,Increased,Favor,Yes,Important,Several times a day,,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Disapprove,Oppose
in,60,South,TX,28,Married,14,Not currently serving but previously served,Working now,Hispanic or Latino,Female  ,40,60,85,50,70,70,70,85,50,60,85,30,70,70,50,50,60,50,60,40,50,50,50,70,60,60,60,50,70,50,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,It doesnt matter,Better,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Republican,Not worth it,Increased,,Decreased,Increased,Favor,No,Important,Once a day,No,Heterosexual or straight,Somewhat important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,No,No,Hardly any are crooked,Disapprove,Disapprove,Oppose
in,100,South,TX,64,Married,9,R has never served in the military,Homemaker,Hispanic or Latino,Female  ,15,50,50,,60,100,70,60,,50,50,0,40,85,0,40,85,85,100,70,50,70,60,40,100,0,40,60,85,85,100,85,60,60,85,40,70,40,100,60,85,50,50,15,0,It doesnt matter,Worse,No,No,No,No,Care a good deal,Will be close,Yes,Stayed about the same,No preference ,Not worth it,Stayed about the same,Favor,Increased,Decreased,Favor,No,Important,Several times a day,No,Heterosexual or straight,Very important,Much larger,,,Yes,Yes,Yes,Not very many are crooked,Disapprove,Approve,Favor
out,85,South,TX,34,Never married,14,R has never served in the military,Working now,Hispanic or Latino,Female  ,0,70,50,40,15,85,100,,70,100,0,15,30,70,0,50,100,85,100,70,60,85,30,60,60,85,40,70,70,50,70,60,50,50,100,50,50,70,85,50,60,50,50,70,50,Better when one party controls both,Worse,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Decreased,Favor,Increased,Kept about the same,Oppose,No,Important,Once a day,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,60,South,TX,22,Never married,14,R has never served in the military,Student,White,Male  ,100,60,100,50,85,70,85,70,50,60,85,50,60,50,50,60,60,100,70,30,85,15,50,50,15,50,50,70,100,60,50,70,50,50,85,85,50,70,100,50,70,85,85,70,50,Better when control is split,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,No preference ,Worth it,Decreased,Neither favor nor oppose,Increased,Kept about the same,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Not very many are crooked,Approve,Approve,Neither favor nor oppose
in,100,South,TX,38,Married,16,R has never served in the military,Working now,Hispanic or Latino,Female  ,50,100,50,60,0,85,0,70,50,85,50,50,30,60,50,0,70,70,100,60,0,60,0,70,50,70,50,50,40,50,70,70,70,50,100,50,50,50,70,50,50,50,50,70,50,It doesnt matter,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Favor,No,Important,Once a day,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Not too important,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
