Val,Post FT Obama,Region,R Age,Marital Status,Education,Military Service,Employed,R Race,R Gender,Pre FT Bush,Pre FT Obama,Pre FT McCain,Pre FT Biden,Pre FT Palin,Pre FT H Clinton,Pre FT B Clinton,Pre FT Condi,Pre FT Rush Lim,Pre FT Dem Party,Pre FT Rep Party,Post FT Bush,Post FT McCain,Post FT Biden,Post FT Palin,FT Rich People,FT Middle Class,FT Poor People,FT Working Class People,FT Ill Immigrants,FT People on Welfare,FT Liberals,FT Conservatives,FT Feminists,FT Environmentalists,FT Gay People,FT Big Business,FT Labor Unions,FT Military,FT Fed Govt,FT Supreme Court,FT Congress,FT Whites,FT Blacks,FT Hispanics,FT Asian Amer,FT Southerners,FT Christian Fundamentalis,FT Catholics,FT Jews,FT Israel,FT Muslims,FT Hindus,FT Christians,FT Atheists,One Party Control Pre,Better Worse Year Ago Pre,Own Stock Pre,Has Health Ins pre,Hopeful About Obama pre,Afraid of Obama pre,Care Who Wins pre,Expect Close Race pre,Duty to vote pre,Economy Better pre,Party ID pre,Iraq War pre,Impact on Terrorismc pre,"Attitude to Uni Health Care, pre",Welfare Spending pre,War on Terror Spending,Death Penalty,R Owns Gun,Religion Imp to R,Prays Often,R Born Again,Sexual Orientation,Should combat terrorists,Income Gap,Abortion,Abortion Importance,Prompt to recog Cheney,Prompt to recog Gordon Brown,Prompt to recog J Roberts,Crooks in Govt,Handling Afgan War,Handling Iraq War,Torture
in,85,Northeast,53,Divorced,12,R has never served in the military,Working now,White,Female,60,70,60,50,85,85,85,85,40,70,30,40,40,70,40,50,50,50,85,30,60,70,40,50,50,50,40,60,85,40,50,40,50,70,50,50,50,40,50,50,50,50,50,85,0,Better when control is split,Better,Yes,Yes,Yes,No,Dont care very much,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Increased,Favor,No,Important,Once a week or less,No,Bisexual,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,40,Northeast,45,Married,17,R has never served in the military,Working now,White,Female,60,50,70,30,85,60,50,60,70,50,70,40,60,30,60,50,85,50,85,0,30,40,70,50,60,40,60,50,85,30,60,40,50,50,50,50,50,50,50,50,40,50,50,100,0,Better when control is split,Worse,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Stayed about the same,Oppose,Kept about the same,Kept about the same,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,85,Northeast,42,Married,17,R has never served in the military,Working now,White,Male,0,85,15,85,0,100,100,15,0,85,15,15,60,85,30,60,85,70,70,50,50,70,30,60,85,50,60,70,60,60,70,60,70,70,70,70,70,40,50,50,60,60,50,70,60,Better when one party controls both,Worse,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Favor,Increased,Kept about the same,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Hardly any are crooked,Disapprove,Disapprove,Oppose
in,30,Northeast,86,Widowed,12,R has never served in the military,Permanently disabled,White,Female,60,50,60,70,,85,70,40,60,50,70,30,30,40,60,50,100,100,100,40,60,60,70,85,60,50,40,40,100,30,70,60,85,50,50,50,50,40,50,50,60,50,50,85,40,Better when control is split,The same ,Yes,Yes,No,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Increased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Not too important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Favor
out,60,Northeast,57,Married,16,R has never served in the military,Working now,White,Male,15,55,25,60,50,70,65,60,70,55,40,0,40,60,50,30,70,60,100,15,50,40,50,40,40,40,15,70,100,40,70,30,60,50,50,50,50,60,50,50,50,40,50,85,15,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Kept about the same,Kept about the same,Favor,Yes,Important,Once a day,,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,40,Northeast,72,Married,13,R has never served in the military,Retired,White,Male,70,15,85,15,100,50,30,60,60,30,85,85,70,40,85,70,70,85,85,30,50,30,85,50,50,30,50,60,85,40,40,40,100,60,50,50,70,100,70,70,70,50,60,100,30,Better when control is split,Worse,No,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Republican,Worth it,Decreased,,Kept about the same,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"1. By law, abortion should never be permitted.",Very important,No,Yes,Yes,Not very many are crooked,Approve,Approve,Oppose
out,100,Northeast,28,Never married,15,R has never served in the military,Working now,Black,Female,40,60,30,,30,70,70,,,60,50,60,60,70,40,50,50,40,100,30,85,50,70,100,100,40,100,70,100,40,100,50,50,50,60,70,40,70,60,15,85,100,70,100,0,It doesnt matter,Better,No,No,No,No,Care a good deal,Will be close,Yes,Stayed about the same,Democrat,Not worth it,Increased,,Increased,Kept about the same,Oppose,No,Important,Several times a day,No,Heterosexual or straight,Very important,Much larger,"1. By law, abortion should never be permitted.",Extremely important,Yes,Yes,Yes,Quite a few are crooked,Approve,Approve,Oppose
in,85,Northeast,72,Divorced,12,R has never served in the military,Retired,Black,Male,0,85,50,85,60,85,85,60,0,85,50,40,50,85,40,85,85,60,85,30,70,70,70,70,70,70,60,85,70,70,70,70,85,85,85,70,70,,70,85,70,60,70,100,60,Better when one party controls both,The same ,No,Yes,Yes,No,Care a good deal,Will be close,,Gotten worse,Democrat,Not worth it,Stayed about the same,Oppose,Kept about the same,Decreased,Favor,No,Important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,,,No,No,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,85,Northeast,57,Widowed,14,R has never served in the military,Permanently disabled,Black,Female,30,60,30,60,30,100,100,60,60,100,60,40,40,70,50,40,40,70,50,50,50,50,50,30,60,50,40,70,85,70,60,70,70,70,50,50,50,50,50,50,50,50,50,70,50,Better when one party controls both,Worse,Yes,Yes,No,Yes,Dont care very much,Will be close,No,Gotten worse,Democrat,Not worth it,Increased,Favor,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,Much larger,,,Yes,No,No,Quite a few are crooked,Disapprove,Disapprove,Favor
in,100,Northeast,58,Divorced,10,R has never served in the military,Retired,Black,Male,0,85,15,85,50,85,85,15,0,100,15,0,15,85,40,70,60,70,85,70,30,60,70,70,85,15,40,85,70,30,30,30,70,70,70,70,85,70,70,85,70,70,70,70,50,Better when one party controls both,Better,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Favor,Increased,Increased,Favor,No,Important,Several times a day,No,Heterosexual or straight,Very important,About the same,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,Northeast,32,Never married,16,R has never served in the military,Working now,Black,Female,0,100,15,85,0,60,85,0,0,70,0,0,30,100,0,65,100,100,100,15,95,95,50,75,100,75,30,90,90,0,65,65,80,100,98,85,85,50,80,90,85,80,85,85,0,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Kept about the same,Oppose,No,Not important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,Northeast,56,Divorced,14,R has never served in the military,Working now,Black,Female,40,70,40,70,40,60,60,50,30,85,50,40,40,100,50,85,85,70,85,50,70,70,60,70,85,50,70,85,70,85,70,70,70,60,50,70,60,50,50,50,60,50,50,50,30,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Decreased,,Increased,Increased,Oppose,No,Important,Several times a day,,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Not too important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,Northeast,32,Never married,13,R has never served in the military,Working now,Black,Female,0,70,0,70,,60,70,50,0,85,,0,0,60,0,50,50,60,60,60,70,70,40,60,60,50,50,60,50,40,50,50,60,100,60,50,50,50,50,50,50,50,50,60,0,Better when control is split,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Decreased,,Kept about the same,Kept about the same,Oppose,No,Important,Once a week or less,No,Heterosexual or straight,Very important,About the same,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
out,85,Northeast,50,"6. Partnered, not married ",4,R has never served in the military,Working now,Black,Male,30,85,50,,85,70,70,50,0,50,50,50,60,70,60,70,70,100,60,70,70,60,50,60,100,50,60,70,85,40,60,70,70,70,70,70,85,70,70,70,70,70,70,70,50,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Worth it,Increased,,Kept about the same,Kept about the same,Oppose,No,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Very important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,70,Northeast,41,Never married,14,Not currently serving but previously served,Working now,Other ,Female,60,70,70,85,0,40,0,70,30,15,30,60,60,60,0,60,60,70,85,0,50,0,85,0,0,0,50,60,100,15,60,30,85,85,85,85,85,0,85,85,60,85,85,70,0,Better when control is split,Worse,Yes,Yes,Yes,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Republican,Not worth it,Increased,Favor,Decreased,Kept about the same,Favor,Yes,Important,A few times a week,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Favor
in,70,Northeast,51,Married,16,R has never served in the military,Working now,,Male,40,70,70,50,50,85,85,60,0,50,50,50,50,70,60,50,60,70,40,30,40,50,50,50,85,15,50,60,60,60,40,30,70,40,60,50,,60,50,50,50,70,50,60,30,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Decreased,Favor,No,Important,Several times a day,,Heterosexual or straight,Very important,About the same,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,70,Northeast,59,Never married,11,Not currently serving but previously served,Permanently disabled,Black,Male,15,85,30,70,15,50,60,60,0,60,0,30,30,60,60,30,60,70,70,50,50,50,50,50,50,50,30,50,30,30,50,50,85,70,50,50,40,50,40,50,50,50,50,70,50,It doesnt matter,Worse,No,Yes,Yes,No,Care a good deal,Will be close,No,Gotten worse,Independent,Not worth it,Increased,Favor,Increased,Decreased,Favor,No,Important,Once a week or less,,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,70,Northeast,42,Never married,12,R has never served in the military,Working now,White,Female,40,70,30,,30,85,50,50,15,60,40,40,40,,30,50,50,50,60,15,50,30,50,30,60,50,40,40,60,40,70,40,50,50,50,50,50,50,70,50,50,50,50,50,50,Better when control is split,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Kept about the same,Favor,No,Not important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
out,70,Northeast,24,Never married,16,R has never served in the military,Working now,White,Male,50,70,60,,50,50,60,50,70,50,50,40,40,60,30,85,100,100,100,60,100,100,100,100,100,100,50,100,60,85,60,70,100,100,100,100,100,100,100,100,100,100,100,100,100,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Increased,Oppose,No,Important,Other ,,Heterosexual or straight,Not important at all,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,85,Northeast,67,Married,12,Not currently serving but previously served,Working now,White,Male,50,0,100,100,85,100,100,100,60,40,40,15,85,100,70,40,85,85,85,50,60,0,100,70,85,0,30,40,100,15,30,30,70,85,70,70,70,60,100,30,40,0,15,70,0,Better when control is split,Worse,No,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,Neither favor nor oppose,Increased,Kept about the same,Favor,No,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,85,Northeast,,Married,15,R has never served in the military,Working now,Black,Female,0,90,15,85,15,80,85,50,,95,15,15,40,85,15,15,100,100,100,100,0,85,75,30,70,85,70,100,50,30,65,45,65,70,60,65,90,85,60,60,80,90,60,100,0,Better when one party controls both,Worse,,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Decreased,Oppose,No,Important,Once a day,No,Heterosexual or straight,Very important,,"4. By law, a woman should always be able to obtain an abortion as a",Not at all important,No,No,Yes,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
out,60,Northeast,30,Divorced,11,R has never served in the military,Homemaker,White,Female,0,50,15,,40,100,100,40,40,50,30,30,15,30,40,30,50,50,60,15,30,40,,40,40,70,40,40,50,30,30,50,50,60,50,60,60,50,70,15,30,40,50,30,40,It doesnt matter,Worse,No,No,No,No,Dont care very much,Will be close,No,Gotten worse,Independent,Not worth it,Stayed about the same,Oppose,Decreased,Increased,Favor,No,Not important,Never,,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,70,Northeast,41,Divorced,12,R has never served in the military,Permanently disabled,White,Female,60,70,85,40,60,85,100,30,50,70,85,85,50,40,60,70,70,85,70,60,40,85,70,40,85,60,85,85,85,85,100,70,70,70,50,70,70,85,85,50,60,50,60,70,60,It doesnt matter,Worse,No,Yes,No,Yes,Dont care very much,Will be close,No,Stayed about the same,Independent,Not worth it,Increased,,Increased,Increased,Oppose,No,Not important,Never,,Heterosexual or straight,Somewhat important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Very important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,75,Northeast,18,Never married,13,R has never served in the military,Working now,Black,Female,40,60,40,50,40,65,50,50,,85,0,45,50,60,50,50,70,70,75,50,70,50,50,60,70,70,50,50,85,65,60,50,60,60,60,60,60,50,85,50,50,50,60,50,50,It doesnt matter,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Increased,Increased,Oppose,No,Important,Once a week or less,No,Heterosexual or straight,Not important at all,Much larger,,,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,Northeast,53,Divorced,14,R has never served in the military,Permanently disabled,White,Female,0,100,,,,100,100,,,100,50,30,,,,50,85,60,85,60,70,60,70,70,85,30,50,50,100,50,50,70,70,100,70,85,70,,85,70,50,50,,100,50,It doesnt matter,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,No preference ,Not worth it,Increased,Favor,Increased,Kept about the same,Favor,No,Not important,Never,,Heterosexual or straight,Very important,Much larger,,,Yes,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Favor
out,50,Northeast,29,Married,6,R has never served in the military,Working now,Hispanic or Latino,Male,40,50,50,,,50,50,,,50,50,50,50,,,50,50,100,100,50,,50,50,50,,50,60,50,50,50,50,50,50,50,100,50,50,,50,50,,50,50,50,50,It doesnt matter,Worse,No,Yes,No,No,Dont care very much,Will be close,No,Gotten worse,Independent,Not worth it,,,Kept about the same,Increased,Oppose,No,Important,Never,,Heterosexual or straight,Very important,Much larger,"1. By law, abortion should never be permitted.",Extremely important,Yes,Yes,No,Not very many are crooked,Neither approve nor disapprove,Disapprove,Neither favor nor oppose
out,100,Northeast,28,Married,12,R has never served in the military,Working now,Hispanic or Latino,Female,50,85,50,,70,50,50,40,60,40,60,50,40,60,60,70,60,100,70,85,60,50,40,60,50,30,40,60,85,60,85,60,60,70,85,70,60,50,60,50,50,40,50,70,50,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Kept about the same,Oppose,No,Not important,Once a day,,Heterosexual or straight,Very important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Favor
out,100,Northeast,34,Divorced,14,R has never served in the military,Working now,Black,Female,15,85,30,85,15,85,85,30,0,85,15,30,50,85,50,50,85,100,85,70,85,100,50,85,85,85,50,85,85,85,50,50,85,100,85,85,85,85,85,85,50,85,85,85,30,It doesnt matter,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Oppose,No,Important,Once a day,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Extremely important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,70,Northeast,28,Married,12,R has never served in the military,Working now,White,Female,70,40,100,,100,40,50,70,,50,60,50,85,60,85,40,60,70,70,50,30,60,50,50,70,50,40,50,85,50,60,50,60,60,50,60,60,50,60,50,50,50,60,70,,Better when control is split,The same ,No,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Stayed about the same,Favor,Kept about the same,Kept about the same,Favor,No,Important,Once a day,No,Heterosexual or straight,Somewhat important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
in,85,Northeast,53,Married,17,R has never served in the military,Working now,Hispanic or Latino,Male,50,85,60,,70,85,100,40,,70,40,50,70,85,85,50,85,85,100,85,50,70,30,30,85,50,60,70,50,30,85,85,70,85,100,50,70,30,70,50,,,60,100,50,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Kept about the same,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,Very important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
out,100,Northeast,42,Married,13,R has never served in the military,Permanently disabled,Hispanic or Latino,Female,0,70,50,85,50,100,100,40,,100,50,0,15,85,0,60,100,85,100,70,85,50,30,70,85,30,70,40,0,85,60,85,70,85,85,60,40,70,70,60,85,50,60,100,60,Better when one party controls both,Worse,No,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Worth it,Stayed about the same,Favor,Increased,Increased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,Northeast,38,Married,17,R has never served in the military,Working now,White,Female,0,100,30,85,15,100,70,30,50,85,0,0,30,85,15,70,100,100,85,70,70,85,70,85,70,85,60,60,100,40,85,60,85,100,85,85,85,40,60,100,85,85,85,100,50,Better when control is split,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Increased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,70,Northeast,28,Married,12,R has never served in the military,Working now,Black,Male,0,70,0,70,0,40,60,,0,70,15,15,15,70,0,50,100,100,100,40,100,50,100,50,100,0,50,70,100,50,50,50,100,100,100,100,100,100,100,100,100,0,100,100,0,It doesnt matter,Better,No,Yes,Yes,Yes,Care a good deal,Will be close,No,Gotten worse,Independent,Not worth it,Increased,Favor,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,100,Northeast,60,Divorced,11,R has never served in the military,Permanently disabled,Black,Female,30,100,0,60,50,85,70,70,,60,60,40,50,70,0,70,85,85,85,60,85,70,,70,85,85,0,70,100,50,60,50,100,100,85,70,100,50,85,85,70,85,70,85,50,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,No,Gotten worse,Independent,Not worth it,Increased,,Increased,Increased,Oppose,No,Important,A few times a week,Yes,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Extremely important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,50,South,23,Never married,13,R has never served in the military,Working now,Black,Male,40,50,40,50,40,50,100,85,50,50,50,30,50,40,70,70,60,85,85,0,40,70,70,30,70,30,60,50,70,30,50,30,70,100,40,50,60,100,50,50,15,0,30,100,15,Better when control is split,The same ,Yes,Yes,No,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Worth it,Stayed about the same,,Increased,Kept about the same,Favor,No,Important,Once a day,,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,Yes,No,No,Not very many are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Neither favor nor oppose
in,100,South,70,Divorced,12,R has never served in the military,Retired,Black,Male,40,85,30,70,85,60,70,60,15,85,40,30,40,85,15,70,85,85,85,0,70,50,50,60,70,50,50,85,85,70,70,70,85,100,70,85,85,50,70,85,70,60,50,100,0,Better when control is split,Worse,No,Yes,Yes,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Favor
out,70,South,73,Widowed,14,R has never served in the military,Working now,White,Female,85,85,85,60,70,85,85,85,60,70,70,85,85,50,85,70,85,85,100,30,50,60,100,70,70,50,60,50,100,60,85,60,100,85,85,85,100,100,100,85,100,85,85,100,0,Better when one party controls both,Better,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,Oppose,Increased,Kept about the same,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,No,No,Quite a few are crooked,Approve,Approve,Neither favor nor oppose
in,70,South,34,Married,16,Not currently serving but previously served,Working now,White,Female,70,60,70,50,70,30,40,60,60,60,60,40,70,60,50,70,85,70,85,50,70,70,70,60,70,70,40,70,85,60,70,60,85,85,85,85,70,40,70,85,40,70,70,85,40,Better when control is split,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,,Kept about the same,Increased,Oppose,No,Important,A few times a week,No,Heterosexual or straight,Somewhat important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Very important,No,No,No,Not very many are crooked,Approve,Approve,Neither favor nor oppose
in,85,South,46,Married,11,R has never served in the military,Working now,Black,Female,0,100,30,85,15,50,70,15,50,100,0,0,15,,30,70,70,75,85,70,70,60,60,50,50,0,60,50,85,50,50,40,70,85,85,50,70,70,50,70,85,50,50,100,0,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Increased,Oppose,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,Much larger,,,Yes,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,South,53,Separated,17,Not currently serving but previously served,Working now,Black,Female,40,100,40,100,50,60,60,100,70,100,0,0,0,100,0,50,70,70,100,0,70,100,30,70,50,0,85,70,100,85,70,85,70,100,60,50,60,100,85,70,60,70,70,100,50,Better when one party controls both,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Decreased,Increased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,About the same,,,No,No,No,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
in,85,South,50,Divorced,10,R has never served in the military,Working now,Black,Male,0,70,15,50,0,70,70,15,0,60,0,0,40,50,15,50,70,100,100,50,60,70,0,70,50,85,60,50,100,40,40,50,70,100,85,50,30,,50,50,50,50,50,85,50,Better when control is split,Worse,No,No,Yes,No,Dont care very much,Will be close,No,Gotten worse,Independent,Not worth it,Increased,Neither favor nor oppose,Increased,Increased,Oppose,No,Not important,Several times a day,No,Heterosexual or straight,Very important,Much larger,,,No,No,No,Quite a few are crooked,Disapprove,Neither approve nor disapprove,Oppose
out,70,South,66,Married,17,R has never served in the military,Working now,Black,Female,0,70,50,50,0,60,50,70,50,60,15,40,50,70,60,85,85,85,85,70,75,65,50,50,70,70,50,50,85,65,60,70,85,85,70,70,70,50,85,80,70,70,85,85,85,Better when control is split,The same ,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Increased,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,South,55,Married,12,R has never served in the military,Homemaker,Black,Female,60,85,60,70,50,50,60,100,50,70,85,60,0,85,0,100,100,100,100,30,85,85,85,85,100,0,100,85,100,80,100,85,100,100,85,100,100,85,100,100,70,0,0,100,0,Better when control is split,Better,No,No,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,No preference ,Not worth it,Increased,Favor,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,About the same,,,Yes,Yes,No,Not very many are crooked,Neither approve nor disapprove,Disapprove,Favor
in,100,South,52,Never married,,R has never served in the military,Permanently disabled,White,Male,15,85,0,50,15,85,85,85,85,50,50,30,30,85,30,30,100,100,100,50,50,100,100,100,50,50,40,50,85,84,85,70,100,100,100,100,100,50,100,100,50,100,100,100,100,Better when one party controls both,Worse,No,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Worth it,Stayed about the same,,Increased,Increased,Favor,Yes,Important,Several times a day,,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,No,No,No,Quite a few are crooked,Neither approve nor disapprove,Disapprove,Neither favor nor oppose
in,100,South,39,Never married,14,R has never served in the military,Working now,Black,Female,30,100,0,100,0,100,100,50,40,100,0,0,0,100,0,50,100,100,100,0,0,100,50,100,100,0,0,100,100,0,50,50,0,100,,50,50,0,50,50,,50,,100,0,Better when one party controls both,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Decreased,Increased,Favor,No,Important,Several times a day,No,Heterosexual or straight,Not important at all,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
